REKENING LAMA,REKENING BARU,NAMA REKENING BELANJA DAERAH,KODE KOMPONEN,TA,B1,B2,JENIS,FORMULIR
5.2.02.17.01.0022,5.2.02.17.001.00022,Belanja Modal Heat Generating Equipment,1.3.02.17.01.0022,2026,#REF!,,SSH,5.2.02.17.001.00022 - Belanja Modal Heat Generating Equipment
5.2.02.17.01.0023,5.2.02.17.001.00023,Belanja Modal Heat Transfer Equipment,1.3.02.17.01.0023,2026,,,SSH,5.2.02.17.001.00023 - Belanja Modal Heat Transfer Equipment
5.2.02.17.01.0024,5.2.02.17.001.00024,Belanja Modal Mechanical Process,1.3.02.17.01.0024,2026,,,SSH,5.2.02.17.001.00024 - Belanja Modal Mechanical Process
5.2.02.17.01.0025,5.2.02.17.001.00025,Belanja Modal Chemical Reaction Equipment,1.3.02.17.01.0025,2026,,,SSH,5.2.02.17.001.00025 - Belanja Modal Chemical Reaction Equipment
5.2.02.17.01.0026,5.2.02.17.001.00026,Belanja Modal Unit Peralatan Proses/Produksi Lainnya,1.3.02.17.01.0026,2026,,,SSH,5.2.02.17.001.00026 - Belanja Modal Unit Peralatan Proses/Produksi Lainnya
0,5.2.02.18,Belanja Modal Rambu-Rambu,,2026,,,,5.2.02.18 - Belanja Modal Rambu-Rambu
5.2.02.18.01,5.2.02.18.001,Belanja Modal Rambu-Rambu Lalu Lintas Darat,,2026,,,,5.2.02.18.001 - Belanja Modal Rambu-Rambu Lalu Lintas Darat
5.2.02.18.01.0001,5.2.02.18.001.00001,Belanja Modal Rambu Bersuar,1.3.02.18.01.0001,2026,#REF!,,SSH,5.2.02.18.001.00001 - Belanja Modal Rambu Bersuar
5.2.02.18.01.0002,5.2.02.18.001.00002,Belanja Modal Rambu Tidak Bersuar,1.3.02.18.01.0002,2026,#REF!,,SSH,5.2.02.18.001.00002 - Belanja Modal Rambu Tidak Bersuar
5.2.02.18.01.0003,5.2.02.18.001.00003,Belanja Modal Rambu-Rambu Lalu Lintas Darat Lainnya,1.3.02.18.01.0003,2026,#REF!,,SSH,5.2.02.18.001.00003 - Belanja Modal Rambu-Rambu Lalu Lintas Darat Lainnya
5.2.02.18.02,5.2.02.18.002,Belanja Modal Rambu-Rambu Lalu Lintas Udara,,2026,,,,5.2.02.18.002 - Belanja Modal Rambu-Rambu Lalu Lintas Udara
5.2.02.18.02.0001,5.2.02.18.002.00001,Belanja Modal Runway/Threshold Light,1.3.02.18.02.0001,2026,,,SSH,5.2.02.18.002.00001 - Belanja Modal Runway/Threshold Light
5.2.02.18.02.0002,5.2.02.18.002.00002,Belanja Modal Visual Approach Slope Indicator (VASI),1.3.02.18.02.0002,2026,,,SSH,5.2.02.18.002.00002 - Belanja Modal Visual Approach Slope Indicator (VASI)
5.2.02.18.02.0003,5.2.02.18.002.00003,Belanja Modal Approach Light,1.3.02.18.02.0003,2026,,,SSH,5.2.02.18.002.00003 - Belanja Modal Approach Light
5.2.02.18.02.0004,5.2.02.18.002.00004,Belanja Modal Runway Identification Light (REILS),1.3.02.18.02.0004,2026,,,SSH,5.2.02.18.002.00004 - Belanja Modal Runway Identification Light (REILS)
5.2.02.18.02.0005,5.2.02.18.002.00005,Belanja Modal Signal,1.3.02.18.02.0005,2026,,,SSH,5.2.02.18.002.00005 - Belanja Modal Signal
5.2.02.18.02.0006,5.2.02.18.002.00006,Belanja Modal Flood Lights,1.3.02.18.02.0006,2026,,,SSH,5.2.02.18.002.00006 - Belanja Modal Flood Lights
5.2.02.18.02.0007,5.2.02.18.002.00007,Belanja Modal Rambu-Rambu Lalu Lintas Udara Lainnya,1.3.02.18.02.0007,2026,,,SSH,5.2.02.18.002.00007 - Belanja Modal Rambu-Rambu Lalu Lintas Udara Lainnya
5.2.02.18.03,5.2.02.18.003,Belanja Modal Rambu-Rambu Lalu Lintas Laut,,2026,,,,5.2.02.18.003 - Belanja Modal Rambu-Rambu Lalu Lintas Laut
5.2.02.18.03.0001,5.2.02.18.003.00001,Belanja Modal Rambu-Rambu Lalu Lintas Laut,1.3.02.18.03.0001,2026,,,SSH,5.2.02.18.003.00001 - Belanja Modal Rambu-Rambu Lalu Lintas Laut
5.2.02.18.03.0002,5.2.02.18.003.00002,Belanja Modal Rambu-Rambu Lalu Lintas Laut Lainnya,1.3.02.18.03.0002,2026,,,SSH,5.2.02.18.003.00002 - Belanja Modal Rambu-Rambu Lalu Lintas Laut Lainnya
0,5.2.02.19,Belanja Modal Peralatan Olahraga,,2026,,,,5.2.02.19 - Belanja Modal Peralatan Olahraga
5.2.02.19.01,5.2.02.19.001,Belanja Modal Peralatan Olahraga,,2026,,,,5.2.02.19.001 - Belanja Modal Peralatan Olahraga
5.2.02.19.01.0001,5.2.02.19.001.00001,Belanja Modal Peralatan Olahraga Atletik,1.3.02.19.01.0001,2026,#REF!,,SSH,5.2.02.19.001.00001 - Belanja Modal Peralatan Olahraga Atletik
5.2.02.19.01.0002,5.2.02.19.001.00002,Belanja Modal Peralatan Permainan,1.3.02.19.01.0002,2026,#REF!,,SSH,5.2.02.19.001.00002 - Belanja Modal Peralatan Permainan
5.2.02.19.01.0003,5.2.02.19.001.00003,Belanja Modal Peralatan Senam,1.3.02.19.01.0003,2026,#REF!,,SSH,5.2.02.19.001.00003 - Belanja Modal Peralatan Senam
5.2.02.19.01.0004,5.2.02.19.001.00004,Belanja Modal Peralatan Olahraga Air,1.3.02.19.01.0004,2026,#REF!,,SSH,5.2.02.19.001.00004 - Belanja Modal Peralatan Olahraga Air
5.2.02.19.01.0005,5.2.02.19.001.00005,Belanja Modal Peralatan Olahraga Udara,1.3.02.19.01.0005,2026,,,SSH,5.2.02.19.001.00005 - Belanja Modal Peralatan Olahraga Udara
